id;name;sex
29443;Frank Martin Dooley;M
5558;"David Michael ""Dave"" Ashleigh";M
796;Sabine Heidrun Adamik (Picken-, -Bothe);F
20181;Chen Dequan;M
27274;Hernando Delgado Hernndez;M
1976;Obaid Ahmed Obaid Al-Jasmi;M
30996;Libor Dvok;M
29885;Zeno Dragomir;M
16827;Fatmir Bushi;M
27688;Mara DePuy (-Dean);F
2825;Yves Allegro;M
9226;Heidi Becker-Ramlow;F
17925;Raymond Eric Cann;M
24962;Euan Dale;M
2741;Amadou Alimi;M
618;Aleksandr Veniaminovich Abushakhmetov;M
31002;Olena Dvornichenko;F
17875;Leobardo Candiani Hernndez;M
19021;Patricia Castro Ortega;F
11534;Sohen Biln;M
5866;Pier Nicola Attorese;M
8353;Milan Bartovi;M
24610;Enrico D'Aniello;M
15704;Ivano Brugnetti;M
1967;Ibrahim Al-Idokht;M
29691;"Henry ""Harry"" Douglas";M
24378;Mario Curletto;M
2573;Jane Elizabeth Alexander;F
6924;"William John ""Will"" Baillieu";M
16323;Karel Bulan;M
810;Bridget Shirley Adams (-Bengough);F
29051;Tony Boyd Dodds;M
6661;Johan Theodor Badendyck;M
14984;"Elizabeth ""Liz"" Brett";F
19421;Juan Ignacio Cerra;M
2605;Alin Alexuc-Ciurariu;M
1842;Sameera Zayid Al-Bitar;F
14784;Fruzsina Brvik;F
6708;Svetlana Mikhaylovna Badulina (-Safronova);F
29135;Jelena Dokic;F
5647;Sofia Asoumanaki;F
3261;Mactabene Amachree;F
12363;"Isadore Louis ""Issy"" Bloomberg";M
30819;Svetla Nikolova Durchova;F
5339;"Artiom ""Tommy"" Arshansky";M
2155;Ali Mohammed Al-Shanqiti;M
584;Ayele Abshero Biza;M
19956;"Charles E. ""Charley"" Chase";M
6319;Yasmina Aziez;F
10629;Ren Berlingeri;M
3453;Slava Lvovich Amiragov;M
17811;Astrid Roxana Camposeco Hernndez;F
9700;Horst Federico Bellingrodt Wolf;M
14833;Boris Silovich Brechko;M
1715;"Solomon Sunday Osayande ""Sonny Ba"" Akpata";M
920;Ibrahim Mohamed Aden Gedi;M
15594;"Timothy Tuttle ""Tim"" Brown";M
28044;Kartar Dhillon Singh;M
13934;Dillon Matthew Boucher;M
16697;Lindsay H. Burns;F
27342;Nicole Della Monica;F
11600;Jenny Lynn Bindon (Bourn-);F
201;Karim Abdel Mohsen;M
31036;Ren Dybkr;M
1917;Ali Sulaiman Al-Ghazawi;M
17623;"Donald ""Don"" Cameron";M
15665;Tami Lee Bruce (-Armstrong);F
25379;Dennis Theodore Darling;M
8046;"Joseph ""Joe"" Barral";M
26157;Jonathan Alexander de Guzmn;M
17468;Ann Callaway (-Redgrave);F
12937;Anja Bolbjerg (-Hansen);F
21194;Chow Un-Ju;F
18089;Dumitru Captari;M
10624;Aleksandr Nikolayevich Berkutov;M
892;Peter Adeberg;M
8003;Lazr Baroga;M
16552;Gnter Burghard;M
8875;Honor Jean Bayard;M
23164;Miguel Antonio Correa;M
8144;"Andrew James ""Andy"" Barron";M
26491;Roland De Neve;M
10620;Renata Berkov;F
1832;Nada Mohamed Abdulzaher Mohamed Al-Bedwawi;F
4761;Ahmed Arab;M
22582;Sbastien Combot;M
922;Jama Mohamed Aden;M
5582;Mohammad Asif;M
17240;Charles Cadron;M
11888;Novica Bjelica;M
11097;Marcel Antonius Christianus Beumer;M
17072;Atheyna Bylon;F
8964;Mehmed Badarevi;M
6484;Fanny Babou;F
23626;Colette Crabbe (-Michel);F
19625;Marise Ann Millicent Chamberlain (-Stephen, -Schou);F
3906;David Erik Andersson;M
15071;Thomas Briels;M
10901;Oscar Bertone;M
26459;Nol James de Mille;M
2740;Vladimir Alimdyanov;M
30111;Jean-Claude Druart;M
17727;"Kenneth ""Ken"" Campbell";M
18947;Diego Jsus Castillo Granados;M
15977;Ji Bubla;M
14716;"Reindert Johannes ""Jan"" Brasser";M
7014;"Christopher Edwin ""Chris"" Baker";M
26239;"Johanna Catharina ""Joke"" de Korte (-Vuijk)";F
1908;Abdullah Al-Garni;M
14873;Juan Bregaliano;M
13499;Alessandra Borio;F
22467;Killian Collins;M
27667;Matt Depeters;M
10618;"David Charles ""Dave"" Berkoff";M
25469;"Guillermo Ignacio Nicols ""Willy"" Dasso Drago";M
28047;Vikash Dhorasoo;M
28128;Lutuma Diabateza;M
24043;Joaquim Carvalho Cruz;M
968;"Margarete ""Grete"" Adler";F
25856;Artemus de Almeida;M
17329;Kirstin Cairns;F
1102;Muhammad Afzal;M
21469;Aida Chuyko (-Sukoryabova);F
18068;Jrgen Wright Cappelen;M
16511;Nicholas James Burfitt;M
2964;Azul Lizeth Almazn Lpez;F
24449;"John J. ""Jack"" Cuthbert";M
5002;Paul Arets;M
18271;Diletta Carli;F
2476;Ilian Vasiliev Aleksandrov;M
3880;Agneta Monica Andersson;F
13755;Francisco Javier Bosma Mnguez;M
25088;Damdinsrengiin Nyamkh;M
18743;Elisa Casanova;F
24156;Antonio Cuba;M
17402;Jos Manuel Caldern Borrallo;M
30246;Franz Dbbers;M
25203;Roger Peter Daniel;M
28931;Herman Marie Ghislain d'Oultremont;M
13515;Mariya Olegovna Borisova;F
29650;Dou Aixia;F
25773;John Gregory Dawe;M
30578;Corina Loredana Dumitru;F
5187;"Javier ""Xavi"" Arnau Creus";M
12938;Boldbaataryn Butekh-Uils;M
31027;Asen Dyakovski;M
2405;Dailenys Alcntara Pacheco;F
30402;Marian Andrzej Dudziak;M
18943;Beatriz Castillo Phillippn;F
3526;Alberta Boatema Ampomah;F
12259;Rosmarie Bleuer (-Hirschy);F
22932;Edmund Merriman Cooper;M
17978;Augusto Luis Cantn Portugal;M
9742;Tarik Belmadani;M
5843;Daniel Attah;M
24105;Lszl Cseresnys;M
6692;Rajmund Bad (Badovecz);M
3821;Hershel Lee Anderson;M
26522;Paul Grard Maria De Paepe;M
24020;Larissa Rose Crummer;F
7070;Ole Bakken;M
8226;Marie Bartkov;F
25030;Malcolm James William Dalrymple;M
11480;Michel Bilamo;M
23395;Jos Miguel Cotto Vzquez;M
21101;"Matthew ""Matt"" Chojnacki";M
1021;"Eduardo ""Bto"" Adriana";M
28177;Judith Patricia Diankolla-Missengu;F
5431;Skinnar Per Tobias Arwidson;M
7350;Zsolt Bal;M
12017;"Ronald Leslie ""Ron"" Blackney";M
19127;Luigi Cavalieri;M
21613;Ondej Cink;M
27458;Yelizaveta Grigoryevna Dementyeva (-Pakhomenkova, -Kislova);F
19196;Rodolfo Eduardo Cazaubn Rincn;M
17490;Kent Callister;M
3387;Jean Ame;M
29316;Kate Marie Donahoo;F
14851;"Aernout Siwart ""Aart"" Brederode";M
26373;Jos Carlos de Lima;M
766;Ji Adam;M
10848;Vincent Berthet;M
13033;Gustaf Adolf Boltenstern, Jr.;M
12460;Stanisaw Bobak;M
23790;Victor Creusen;M
22620;Cleiton Conceio;M
26545;Ferdinando De Petrillo;M
14298;Gillian Dewey Boxx;F
11169;Miroslav Beznoska;M
15232;Ulrik Lennart Brock;M
19284;"Alexander ""Alex"" ejka";M
5827;Joanne Louise Atkinson;F
16406;Anna Alekseyevna Bulygina (-Frolina);F
6135;Sorin Aristotel Avram;M
16436;Olivia Bunn (-Skellern);F
23295;Joseph Rego Costa;M
10166;"Geoffrey Russell ""Geoff"" Bennett";M
23464;Charle Cournoyer;M
10466;Thierry Berger;M
21443;Yelena Anatolyevna Churakova;F
